Time,Susceptible,Infected,Recovered,Susceptible_m,Infected_m,Recovered_m
0.0,0.95,0.05,0.0,0.95,0.05,0.0
0.07040130748820261,0.9472778023110366,0.05200664620013301,0.0007155514888303045,0.9472876894159695,0.05200665586073373,0.0007056547232967343
0.17040130748820262,0.9432458805297764,0.0549813360673866,0.0017727834028369504,0.9433034523864321,0.05498148030477455,0.0017150673087932972
0.2704013074882026,0.9390128488221438,0.058106962895313974,0.0028801882825421994,0.9391565347793859,0.05810756852428489,0.002735896696329199
0.37040130748820266,0.9345706997795562,0.06138897524692349,0.004040324973520196,0.9348371708758518,0.061390607697951,0.0037722214261970877
0.47040130748820264,0.9299114059074767,0.06483275936702,0.005255834725503257,0.9303349686351752,0.06483625870140416,0.00482877266342054
0.5704013074882026,0.925026958822608,0.06844360240562537,0.0065294387717665815,0.9256389791983045,0.06845011844551774,0.0059109023561776195
0.6704013074882026,0.9199094128576065,0.0722266519780632,0.007863935164330217,0.9207377695975777,0.07223767753069749,0.007024552871724708
0.7704013074882026,0.9145509331824918,0.07618687201853458,0.009262194798973502,0.9156194983222711,0.07620427300145564,0.008176228676273153
0.8704013074882025,0.9089438485004377,0.0803289949352117,0.010727156564350446,0.9102719939345927,0.08035503602437466,0.009372970041032519
0.9704013074882025,0.9030807083140128,0.08465747013509412,0.01226182155089303,0.9046828374437257,0.08469483436565035,0.01062232819062386
1.0704013074882026,0.8969543446857878,0.0891764090563476,0.013869246257864459,0.8988394496110095,0.08922820961445443,0.011932340774536029
1.1704013074882027,0.8905579383343751,0.09388952692457693,0.01555253474104785,0.8927291847667906,0.09395930918818902,0.013311506045020283
1.2704013074882028,0.8838850888135377,0.09880008153716711,0.017314829649295125,0.8863394330608111,0.09889181326815935,0.014768753671029556
1.3704013074882029,0.876929888418527,0.103910809475801,0.019159302105671905,0.8796577333356931,0.10402885695199263,0.01631340971231429
1.470401307488203,0.869686999351202,0.10922386025044338,0.021089140398354557,0.8726718989982477,0.10937294807471312,0.017955152927039173
1.570401307488203,0.8621517335551975,0.11474072898692762,0.023107537457874867,0.865370159354101,0.11492588134563048,0.019703959300268525
1.6704013074882031,0.8543201345064263,0.12046218838273448,0.025217677110839158,0.8577413188514277,0.12068864967411787,0.02157003147445449
1.7704013074882032,0.8461890601150747,0.12638822076902706,0.02742271911589824,0.8497749365284248,0.12666135381367571,0.02356370965789952
1.8704013074882033,0.837756265766143,0.1325179512283757,0.029725783005481208,0.8414615276507029,0.13284311173834182,0.025695360610955304
1.9704013074882034,0.8290204864002362,0.13884958282323212,0.03212993077653169,0.8327927890291441,0.13923196947412722,0.027975241496728746
2.0704013074882033,0.8199815164189839,0.14538033508599063,0.03463814849502552,0.8237618487939428,0.14582481543337958,0.030413335772677713
2.1704013074882034,0.8106402860949203,0.15210638700293375,0.0372533269021459,0.8143635404352855,0.1526173006308836,0.03301915893383099
2.2704013074882035,0.8009989330789237,0.1590228257867781,0.03997824113429824,0.8045946996792465,0.159603767482062,0.03580153283869163
2.3704013074882035,0.791060867534651,0.1661236027711247,0.04281552969422431,0.7944544812332228,0.16677719017629625,0.038768328590481085
2.4704013074882036,0.7808308293940015,0.17340149777020428,0.0457676728357942,0.7839446906097614,0.17412912985798631,0.04192617953225252
2.5704013074882037,0.7703149362253986,0.18084809322459952,0.048836970550001885,0.7730701241461663,0.18164970800607336,0.04528016784776055
2.670401307488204,0.7595207202419701,0.18845375939444992,0.05202552036357995,0.7618389080363464,0.1893276014475286,0.0488334905161252
2.770401307488204,0.7484571530530274,0.19620765176323707,0.05533519518373558,0.7502628247751549,0.19715006233817348,0.05258711288667177
2.870401307488204,0.7371346568819708,0.2040977216760161,0.05876762144201318,0.7383576130201831,0.20510296616220716,0.05653942081760989
2.970401307488204,0.7255651011378508,0.21211074105573138,0.06232415780641786,0.7261432246806591,0.2131708903109737,0.06068588500836737
3.070401307488204,0.7137617834355929,0.22023234182148926,0.06600587474291789,0.713644021265738,0.2213372250807086,0.06501875365355352
3.1704013074882043,0.7017393944088549,0.22844707037657866,0.06981353521456655,0.7008888904117164,0.22958431796955617,0.06952679161872752
3.2704013074882043,0.6895139659451927,0.23673845724668952,0.07374757680811793,0.6879112633178269,0.2378936509642166,0.07419508571795656
3.3704013074882044,0.67710280278933,0.24508910163701592,0.07780809557365419,0.674749014798994,0.24624604911518466,0.07900493608582146
3.4704013074882045,0.6645243977987133,0.25348077034923605,0.08199483185205081,0.661444230014458,0.25462191715919197,0.08393385282635012
3.5704013074882046,0.6517983314864816,0.26189451016559717,0.08630715834792142,0.6480428257806936,0.26300149933479694,0.08895567488450945
3.6704013074882047,0.6389451568395514,0.2703107724783903,0.09074407068205838,0.634594019743507,0.2713651559506839,0.09404082430580904
3.770401307488205,0.6259862707419954,0.27870954863041375,0.09530418062759093,0.6211496474481252,0.27969364882141023,0.09915670373046458
3.870401307488205,0.6129437736543089,0.28707051414707085,0.09998571219862042,0.6077633352328486,0.2879684265054507,0.10426823826170066
3.970401307488205,0.5998403194858671,0.29537317979445343,0.10478650071967961,0.5944895454493938,0.29617189948559075,0.10933855506501541
4.070401307488205,0.5866989578401367,0.3035970471999439,0.1097039949599196,0.581382519209132,0.3042876951259052,0.11432978566496282
4.170401307488205,0.5735429710007615,0.3117217666306961,0.11473526236854265,0.568495149994703,0.3123008824970797,0.11920396750821732
4.270401307488204,0.5603957081542281,0.3197272944468795,0.1198769973988927,0.5558778283422257,0.3201981580159351,0.12392401364183925
4.370401307488204,0.547280419406525,0.3275940477343823,0.12512553285909292,0.5435773026998795,0.3279679842797859,0.1284547130203346
4.470401307488204,0.5342200921448056,0.33530305367667695,0.13047685417851765,0.5316356039204359,0.33560067642377367,0.13276371965579042
