Time,Susceptible,Infected,Recovered
0.0,0.95,0.05,0.0
0.07040130748820261,0.9472876894159695,0.05200665586073373,0.0007056547232967343
0.17040130748820262,0.9433034523864321,0.05498148030477455,0.0017150673087932972
0.2704013074882026,0.9391565347793859,0.05810756852428489,0.002735896696329199
0.37040130748820266,0.9348371708758518,0.061390607697951,0.0037722214261970877
0.47040130748820264,0.9303349686351752,0.06483625870140416,0.00482877266342054
0.5704013074882026,0.9256389791983045,0.06845011844551774,0.0059109023561776195
0.6704013074882026,0.9207377695975777,0.07223767753069749,0.007024552871724708
0.7704013074882026,0.9156194983222711,0.07620427300145564,0.008176228676273153
0.8704013074882025,0.9102719939345927,0.08035503602437466,0.009372970041032519
0.9704013074882025,0.9046828374437257,0.08469483436565035,0.01062232819062386
1.0704013074882026,0.8988394496110095,0.08922820961445443,0.011932340774536029
1.1704013074882027,0.8927291847667906,0.09395930918818902,0.013311506045020283
1.2704013074882028,0.8863394330608111,0.09889181326815935,0.014768753671029556
1.3704013074882029,0.8796577333356931,0.10402885695199263,0.01631340971231429
1.470401307488203,0.8726718989982477,0.10937294807471312,0.017955152927039173
1.570401307488203,0.865370159354101,0.11492588134563048,0.019703959300268525
1.6704013074882031,0.8577413188514277,0.12068864967411787,0.02157003147445449
1.7704013074882032,0.8497749365284248,0.12666135381367571,0.02356370965789952
1.8704013074882033,0.8414615276507029,0.13284311173834182,0.025695360610955304
1.9704013074882034,0.8327927890291441,0.13923196947412722,0.027975241496728746
2.0704013074882033,0.8237618487939428,0.14582481543337958,0.030413335772677713
2.1704013074882034,0.8143635404352855,0.1526173006308836,0.03301915893383099
2.2704013074882035,0.8045946996792465,0.159603767482062,0.03580153283869163
2.3704013074882035,0.7944544812332228,0.16677719017629625,0.038768328590481085
2.4704013074882036,0.7839446906097614,0.17412912985798631,0.04192617953225252
2.5704013074882037,0.7730701241461663,0.18164970800607336,0.04528016784776055
2.670401307488204,0.7618389080363464,0.1893276014475286,0.0488334905161252
2.770401307488204,0.7502628247751549,0.19715006233817348,0.05258711288667177
2.870401307488204,0.7383576130201831,0.20510296616220716,0.05653942081760989
2.970401307488204,0.7261432246806591,0.2131708903109737,0.06068588500836737
3.070401307488204,0.713644021265738,0.2213372250807086,0.06501875365355352
3.1704013074882043,0.7008888904117164,0.22958431796955617,0.06952679161872752
3.2704013074882043,0.6879112633178269,0.2378936509642166,0.07419508571795656
3.3704013074882044,0.674749014798994,0.24624604911518466,0.07900493608582146
3.4704013074882045,0.661444230014458,0.25462191715919197,0.08393385282635012
3.5704013074882046,0.6480428257806936,0.26300149933479694,0.08895567488450945
3.6704013074882047,0.634594019743507,0.2713651559506839,0.09404082430580904
3.770401307488205,0.6211496474481252,0.27969364882141023,0.09915670373046458
3.870401307488205,0.6077633352328486,0.2879684265054507,0.10426823826170066
3.970401307488205,0.5944895454493938,0.29617189948559075,0.10933855506501541
4.070401307488205,0.581382519209132,0.3042876951259052,0.11432978566496282
4.170401307488205,0.568495149994703,0.3123008824970797,0.11920396750821732
4.270401307488204,0.5558778283422257,0.3201981580159351,0.12392401364183925
4.370401307488204,0.5435773026998795,0.3279679842797859,0.1284547130203346
4.470401307488204,0.5316356039204359,0.33560067642377367,0.13276371965579042
4.570401307488203,0.5200890802473531,0.3430884326728043,0.13682248707984251
4.670401307488203,0.508967585948477,0.3504253083429734,0.14060710570854953
4.770401307488203,0.4982938600594371,0.3576071351892599,0.144099004751303
4.870401307488202,0.48808312242477564,0.3646313905087513,0.14728548706647304
4.970401307488202,0.4783429030255066,0.3714970226157062,0.1501600743587872
5.0704013074882015,0.469073108304048,0.3782042410597757,0.15272265063617632
5.170401307488201,0.4602663157913622,0.38475428115810906,0.15497940305052876
5.270401307488201,0.4519082767601849,0.3911491530033153,0.15694257023649974
5.3704013074882,0.44397859673024787,0.39739138509269906,0.15863001817705302
5.4704013074882,0.43645155611325526,0.4034837721489613,0.16006467173778335
5.5704013074882,0.42929702854239826,0.4094291356574955,0.16127383580010612
